"SourceAgency","Reporting_Year","Environment","Category","ConfirmedLatitude","ConfirmedLongitude","Incident_Date","Casualty_At_Risk","Casualty_Lives_Assisted","Casualty_Lives_Rescued","Casualty_Lives_Saved","Casualty_Perished","Police_Event","date","year","flag"
"NZPolice","2011-2012","Marine","Cat 1",-36.4104677,174.6594211,2011-08-16,NA,0,0,0,0,"P008740725",2011-08-01,2012,"loc"
"NZPolice","2015-2016","Marine","Cat 1",-36.784489,174.77639,2015-08-22,NA,0,0,0,0,"P022272976",2015-08-01,2016,"loc"
"NZPolice","2015-2016","Land","Cat 1",-36.8060256,174.7748878,2015-09-02,NA,1,0,0,0,"P022393457",2015-09-01,2016,"loc"
"NZPolice","2012-2013","Marine","Cat 1",-40.6892988,175.1480569,2013-03-08,NA,0,0,0,0,"P013136990",2013-03-01,2013,"loc"
"NZPolice","2015-2016","Marine","Cat 1",-35.8608379,174.5418575,2016-02-01,NA,1,0,0,0,"P024092465",2016-02-01,2016,"loc"
"NZPolice","2011-2012","Marine","Cat 1",-38.1712097615641,163.036747224645,2011-10-22,NA,0,0,0,0,"009205186",2011-10-01,2012,"no_loc"
"NZPolice","2011-2012","Land","Cat 1",-43.4195767,170.1719291,2011-11-14,NA,0,0,0,0,"P009366767",2011-11-01,2012,"loc"
"NZPolice","2014-2015","Marine","Cat 1",-40.85496,174.91255,2015-02-10,NA,1,0,0,0,"P020197948",2015-02-01,2015,"loc"
"NZPolice","2015-2016","Land","Cat 1",-36.966734,174.51731,2016-03-18,NA,1,0,0,0,"P024606082",2016-03-01,2016,"loc"
"NZPolice","2017-2018","Marine","Cat 1",-37.086561,175.414307,2018-02-17,NA,1,0,0,0,"P032626380",2018-02-01,2018,"loc"
"NZPolice","2016-2017","Marine","Cat 1",-44.493058,169.289355,2017-03-09,NA,2,0,0,0,"P028792890",2017-03-01,2017,"loc"
"NZPolice","2013-2014","Marine","Cat 1",-38.7135687,175.9764209,2014-01-24,NA,2,0,0,0,"P016174204",2014-01-01,2014,"loc"
"NZPolice","2015-2016","Land","Cat 1",-39.9361259,175.5742737,2016-03-18,NA,1,0,0,0,"P024601009",2016-03-01,2016,"loc"
"NZPolice","2017-2018","Marine","Cat 1",-46.625353,169.143181,2017-12-02,NA,0,1,0,0,"P031730387",2017-12-01,2018,"loc"
"NZPolice","2013-2014","Land","Cat 1",-45.0016078,168.5639889,2013-12-30,NA,0,1,0,0,"P015929075",2013-12-01,2014,"loc"
